"Tweet","Class"
" आपली घरं जळत आहेत  दुसऱ्यांच्या घरांवर आग लागलेली बघायचं बंद करा. कारवाई योग्य आहे. परंतु कोरोना  अर्थव्यवस्था  महागाई… ","not offensive"
" जर खरच मानसिक समाधान ही जगातली सगळ्यात मोठी श्रीमंती असेल तर  वातानुकूलित चारचाकी  मध्ये फिरणाऱ्या नोकरदारापेक्षा… ","not offensive"
" खरंच खूप सुंदर व्हिडीओ. अतिशय समर्पक आणि चपखल शब्दात सर्व मांडलंय. हे पाहून तरी इथल्या भय्यांना अक्कल यावी हीच अपे… ","offensive"
" टाळेबंदीमुळे नोकरीवर गदा रोजगाराच्या शोधासाठी वाहतुकीचा अभाव  उपनगरी गाडय़ा बंद असल्याने पालघर जिल्ह्य़ातील… ","not offensive"
" विना ने काय घोडं मारलं??? शिव ठाकरे एक नंबर चा बावळट होता. कशाला त्याला मध्ये घ्या? म्हणे 🤣… ","offensive"
" आज   उद्या रक्तदान करण्याचा विचार आहे.. फोटोचा आणि याचं काही कनेक्शन नाही .. फोटो छान दिसतोय असं वाटलं म्हणून टाकला कसा… ","not offensive"
" मी पण उद्या राज्यपालांची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन… ","not offensive"
" मदराशा चा भोंगा बंद करा अशी विनंती केल्यावर तोंडात केळ घेऊन बसलेली   वर्षानुवर्षे पावसाळ्यात गटारी साफ न कर… ","not offensive"
" छत्रपती संभाजी महाराज यांच्या नावाने गेल्या कित्येक वर्षांपासून बिडी विकणाऱ्या कंपनीला अखेर दणका बसला आहे. संभाजी… ","not offensive"
" दलिंदर पक्ष आणि त्याचे भिकारचोट कार्यकर्ते अजूनही तुम्ही आरक्षण अन समाजहितापेक्षा पक्षप्रेमाला महत्व देत असाल तर … ","offensive"
" भाड्या तू दीड दमडी चा भाडखाऊ तुला कुत्र विचारत नही तू मराठी कलाकाराची लायकी पैशात मोजतो  झाट्या  तु… ","offensive"
" होणे कुटुंब व्यवस्थेला हादरा देणारं आहे. मग ते कोणा एका साथीदाराची इच्छा आहे म्हणून किंवा परस्पर संमतीने. ","not offensive"
" किती मोठी गम्मत आहे ना? जेव्हा ह्यांनी मुलींना पळवुन नेण्याची गोष्ट केलेली तेव्हा केंद्र सरकार तोंडात मूग गिळून… ","offensive"
" आपल्या आई वडिलांच्या  भगीरथ  प्रयत्नांनंतर आपला जन्म झाला  तो देखील महाराष्ट्रात. राज्याची मातृ… ","not offensive"
" ज्यांचा बाप सकाळच्या पारी बोचा आवळून सार्वजनिक संडासाच्या लाईतन उभा असतो  ते शैणिक सुद्धा आता म्हणायला लागलेत मुंबई… ","offensive"
" तुज्येइ रांड आहे रे कोना खाली लगेच जाती ","offensive"
" bmc चा फावड्या तू भडव्या डीपॉझीट किती मत पडल्यावर जप्त होत हे तरी माहिती आहे काय रे तूला bmc चा फावड्या jcb ","offensive"
" एका लायकी नसलेल्या बाईने आपल्या मुंबईला पाकिस्तान म्हणून संबोधले आणि केंद्र सरकारने तिला जाब विचारायचा सोडून तिच्या… ","not offensive"
" तुझा बाप लंड तुझ्या तोंडात देत नाही म्हणून फ्रस्ट्रेशन ट्विटरवर नको काढू ","offensive"
" हो त्यांना कधी कधी सोन्या हाक मारतो आम्ही  आता दादा बिहार ला आहेत तिकडे जाऊन सोन्या सारखा हागुन नका… ","not offensive"
" फेसबुकच्या चावडीचे खुद्द मालक  मार्क झुकरबर्ग यांच्याबद्दल १० अफलातून गोष्टी ","not offensive"
" शांत व प्रसन्न मन हे शेवटचे असे हत्यार आहे की  जे जीवनातील  कोणत्याही प्रकारच्या आव्हानांना  सामोरे जाण्यास सज्ज असते. ","not offensive"
" बीजेपी च्या मंद कार्यकर्त्यांना माहिती आहे आवाज कोणाचा चालतो...एकाचा फक्त डोळा लाल झाला तरी… ","offensive"
" मंद गंधित बागेतून पाहिले तुला जातांना फुलासोबत लाजून तू प्रणय गीत गातांना    pb (माझ्या बागेतील फुले   भाग ६) ","not offensive"
" हाहाहा... काय उखडल एवढ्या मोठ्या संख्येने येऊन... हाह... फक्त्त तोंडात दम डोक्यात काहीच नाही ","offensive"
" हेच तर विशेष आहे यांचे. म्हणून 54 44 वर आणुन सोडले होते दळभद्री. पिढ्यानपिढ्या स्वतःच्या तुंबड्या भर… ","offensive"
" रिलायंस जिओ ला मिळालेल्या प्रचंड यशाचं रहस्य काय आहे? समजून घ्या.. ","not offensive"
" मी पण उद्या राष्ट्रपतीची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन दिले होते .… ","not offensive"
" आपल्यापासून लपवला गेलेला   रस्ता अपघात झाल्यास सरकारने पीडितांना भरपाई देण्याचा महत्वपूर्ण नियम ","not offensive"
" मुंबई आहे फक्त अमाची मराठी माणसाची नाही तुझ्या बापाची. जर एवढीच गुर्मी असेल तर… ","offensive"
" अरे मुर्खा २०१९ मध्ये मराठा मोर्चा सोलापूर बैठक मध्ये adv थोरात यांना युक्तीवाद करा… ","offensive"
" काटे च्या चांगलेच काटे रुतलेली दिसतात. अरे बावळट मानसा तर्कशुद्धपध्दतीने विरोध कराय… ","not offensive"
" नमस्ते ट्विटरकर  आज वाचनात आलेल्या पुस्तकाचे नाव  गोष्टी माणसांच्या हे पुस्तक मूळ ‘हाऊ आय टॉट माय ग्रँडमदर टू रीड अँड… ","not offensive"
" मंद भक्ता   गुन्हा दाखल झालेला तेव्हाच   अटक सुद्धा झालेली. कोर्टाने जमीन मंजूर केली. सूनवण्या होतील ","offensive"
" ८ सप्टेंबर  बगळ्यांची माळ फुले..  अशी एकाहून एक सरस गाणी लिहिणारे कवी यांचा स्मृतिदिन. निजाम सरकार… ","not offensive"
" मनात जे असत ते बोलून लिहायच्या वेळी मी सगळे शब्द बरोबर उच्चारतो पण तेच कागदावर उतरतं असताना हमखास त्यातले २ ३ शब्द इथे   तिथे… ","not offensive"
" प्रत्येक boyfriend च्या मनात एकच गोष्ट चालू असते   girlfriend चा bestfriend हा सगळ्यात मोठा मादर्चोद माणूस आहे … ","offensive"
" जिथे शिवसेनेचा हाथ असतो तिकडे अनधिकृत बांधकामे पाडली जातात एक आणि दुसरी कंगना ची ","not offensive"
" आज ९ सप्टेंबर २०२० बरोबर ५१ वर्षे झाली मध्ये महापूर येऊन गेला. ९ सप्टेंबर १९६९ मध्ये आलेल्या ह्या महापुरामळे नाशिक म… ","not offensive"
" 10 महिने गोट्या खेळतायं का ..? ","offensive"
" मरणाची जी असते  तीही शेवटी मरूनच जाते  जीवनातली जबाबदारी जणू  मरणाला मातीच देते … ","not offensive"
" आज राष्ट्रीय सर्वविक्री अमावस्येच्या सर्वांना दळभद्री शुभेच्छा. पकोडेवाले को श्रद्धांजली. ","offensive"
" सुशांत बिहारचा रिया बँगलोर कंगना हिमाचल प्रदेश आणि भांडणं महाराष्ट्रात. हे बरोबर नाही अध्यक्ष महोदय.... ","not offensive"
" धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा.. नकोच थांबु तु आता असाच पडत रहा.. नकोच समजावु काहीच तु तसाच फक्त कळत रहा.. होऊ… ","not offensive"
" सह्याद्रीकडे डोळे वटारून पाहिले तर डोळे काढून गोट्या खेळू  सह्याद्रीला अपशब्द वापरले तर जीभ छाटली जाईल  सह्याद्री… ","offensive"
" सकाळी सकाळी बातमी  २ लाख कोरोना रुग्णांसह पुणे जिल्हा देशांत नंबर.१. ","not offensive"
" एकाचे शंभर करायला वेळ लागत नाही मात्र शून्याचा एक करायला वेळ लागतो   हा नियम खुद्द सचिन तेंडुलकरलाही लागू झाला. १०० शतके… ","not offensive"
" २०१६ साली भाजपचे तेव्हाचे आमदार व आताचे खासदार उन्मेष पाटील व इतरांनी माजी सैनिक सोनू म… ","not offensive"
" नाव बदलले तर यांचे राजकारण करण्याचा एक मुद्दा कमी होईल ना. यांना फक्त घोंगडे भिजत ठेवण्यात मजा ये… ","not offensive"
" हे टुकार दळभद्री चित्र त्या विवेक अग्निहोत्री ने नुसते कंगना ला फॉरवर्ड केले की कुत्सित बुद्धीने स्वतः… ","offensive"
" नमस्ते ट्विटरकर  आज वाचनात आलेल्या पुस्तकाचे नाव  गोष्टी माणसांच्या हे पुस्तक मूळ ‘हाऊ आय टॉट माय ग्रँडमदर टू रीड… ","offensive"
" 5 100एमएएच बॅटरी आणि 8 इंचाचा डिस्प्ले असलेला हा डिवाईस फक्त 9 999 रुपयांमध्ये झाला भारतात लॉन्च ","not offensive"
" हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे. 2013 साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखवलं.आम्ही… ","not offensive"
" 5 वर्ष गोट्या खेळले का? म्हणे प्रयत्नांची शर्थ करू  ","offensive"
" शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना  जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठ… ","not offensive"
" क्रिकेटवेड्या पोरापायी गावातील जमीनदार बाप मोहालीत भाड्याच्या घरात राहू लागला ","not offensive"
" कधी अचानक रात्री मला झोप येत नाही आणि मी डोळे न मिटता मी त्या सगळ्या आठवणी आठवतो. कधी तिच्या डोळ्यात बघतांना...कधी हसता… ","not offensive"
" आता तू झोप ह चंपा  वाछ गोट्या सेठ च कांड ","offensive"
" सुखाच्या एका अपेक्षेने दुःखाचे अनेक वार सहन केले पण सुखाने एक झलक दाखवली आणि दुःखाला बोलावणे पाठवले.... © ","not offensive"
" गुजराथ मधील ३०२२ मृत्युंची सांख्यीकी १) हाॅस्पीटलायझेशन नंतर  पहिल्या २४ तासात ६   ७२ तासात २६  २) वय ६… ","not offensive"
" गोट्या खेळत होते ","offensive"
" यार या सरकारच्या मंत्र्यांमध्ये शर्यत लागली आहे कोणाला किती धमकी चे फोन येतात म्हणून.. जणू हे काय कुठ… ","not offensive"
" पालकमंत्री साहेब संगमनेर तालुक्यातील khandarmal गाव आहे माझे 2016 साली मी जमीन बँकेकडे गहान ठेऊन 7… ","not offensive"
" जाता जात एक हलकासा घाव दुरावणाऱ्या मनांना न सुटणारा हाव... ","not offensive"
" कंगणाला संजय राऊत हरामखोर म्हणाला होता  तेव्हा यांच्या तोंडात  मावा  होता. ","offensive"
" पुच्ची मस्त आहे. ","offensive"
" आपण दररोज रोपांना पाणी देतो  पण फळ  फुले फक्त त्या त्या ऋतूमाना प्रमाणेच येतात  म्हणूनच आयुष्यात संयम ठेवा प्रत्येक गो… ","not offensive"
" भिकारचोट लेकाचे  मिडिया  कलाकार सगळे विकले गेले आहे राज्य सरकारच्या कामासाठी. ","offensive"
" प्रेमींनो... आली रे आली आली.. ला भेट द्या. आपली टीम बनवा आणि सहभागासा… ","not offensive"
" बनगरवाडी   व्यंकटेश माडगुळकर आवडता ग्रामीण कथासंग्रह.. माणदेशातल्या एका  लेंगरवाडी  नावाच्या वाडीवर… ","not offensive"
" भारी लुक्का सावंत  अशी अनेक पालुपदं आहेत या गुलामा साठी सतरंजी उचल्या भिकारचोट लुगडी धुणारा  पप्पू चा पप्पू ......… ","offensive"
" कंगनाचे ऑफिस फुटल्यास आज सर्वात जास्त आनंदी हृतीक रोशन असेल  ","not offensive"
" पंजाबी घरात जन्मलेला अक्षय एवढी भारी मराठी बोलतो याचं अनेकांना आश्चर्य वाटतं. आज या खिलाडी कुमारचा वाढदिवस. ","not offensive"
" च्यायला कसलं yz आहे यार हे नमुना  ","offensive"
" मुकेश अंबानी यांच्या निवेदनानुसार 10 वर्षात रिलायन्स सध्याच्या दुप्पट व्यवसाय करत असेल. शेअर ची किंमत अगदी व्यवसा… ","not offensive"
" हा नागपुरातील नेता  महाराष्ट्र व मराठी लोकांनवर एक मोठा काळा कलंक आहे. ","not offensive"
" मुळे विद्यार्थ्यांची  परीक्षा ","not offensive"
" महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त कर… ","not offensive"
" हिंदू धर्मात 4 वेद  6 शास्त्र  18 पुराण  60 नीति. 108 उपनिषद आहेत तरीही काही दळभद्री लोक डोके टेकवायला पीर बाबाच्या मदार… ","offensive"
" कर्म  कायम  धर्मा  पेक्षा श्रेष्ठ राहिलयं कारण..  धर्म  करून तुम्ही देवाकडे याचना करता परंतु  कर्म  केल्यावर देवा… ","not offensive"
" काय चालू आहे राज्यात काय माहित राव  कसले दळभद्री सरकार आहे. आता सांगा की बोंबलून करून… ","offensive"
" साखर पडो तुमच्या तोंडात..खरंच असे झाले असते तर ","not offensive"
" सोनू नाव? खर नाव घ्यायला फाटतो का बोचा. तो तर फाटणारच मुंबई चा पालक मंत्री कोणी बसवला. मातोश्री असणारी कलानगर सीट कशी काँ… ","offensive"
" बात  हरामखोरीची निघाली तर मग  डांबराने  लिहीले जाईल . ","offensive"
" महाराष्ट्रात कोरोनाची लागण झालेल्यांची संख्या 943772 वर पोहचली  असून त्यातील बरे झालेल्यांची संख्या 672556 इतकी आहे… ","not offensive"
" तुज्या सारख्या आईघाल्या ची तर मारलीच पाहिजे ","offensive"
" हा मादरचोद विरोधातच होता ","offensive"
" ती आली.....सगळीकडे फिरली....आणि गेली झाट कोणी तिचे वाकडे नाही केले ","offensive"
" भडव्या तुझ्या आईसारखी धंदेवाली नाही रे....कंडोम शिवायच… ","offensive"
" डॉ.बाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही… ","not offensive"
" आहेत काही दळभद्री आणि ट्विट ची मजा घेणारे हलकट... ","offensive"
" याआधी कितीजण बोलून गेले तेव्हा झोपले होते का?महाराज्यांच्या… ","not offensive"
" मंदार जन्मतःच मंद आहे  ","offensive"
" आईघाल्या 5 वर्षे काय देवेंद्र जात उपटी करत होते का? यांना सांगतो पलटी मास्टर ","offensive"
" ती रांड आहे आहे आणि तुझा बाप रंडवा चुत्या कुणीकडचा ","offensive"
" मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी… ","not offensive"
" बीभत्स बॉलिवूड   हिंदी चित्रपटसृष्टीच्या गोजिऱ्या चेहऱ्यामागचं विकृत  विद्रुप वास्तव ","not offensive"
" तुझ्याआईचा नवरा... भडव्या  आईघाल्या निघ मोदीच्या कुत्र्या.. ","offensive"
" गोविंद स्वरूप यांच भारतासाठी योगदान केवढं   रिया अन बाकी सगळे तत्सम लोकांचं भारतासाठी योगदान केवढं?? आपला समाज गो… ","not offensive"
" दळभद्री हरामखोरांचे सरकार आहे हे. ","offensive"
" जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिका.कारण जो व्यक्ती स्वःतावर प्रेम करतो ना… ","not offensive"
" तुजाई रांड साली तिच्या ईचा दाणा  तुझा बाप शटउपट्या  लवंडू साला ","offensive"
" आमच्या नशिबी दळभद्री हरामखोर होता..  ","offensive"
" शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते...... ","not offensive"
" सुशांत बिहारचा... रिया बंगलोर ची... कंगना हिमाचल प्रदेश ची... आणि भांडणं मात्र आपल्या लागलेत... कुठे नेऊन ठे… ","not offensive"
" समोरचा माणूस ज्ञानी की अज्ञानी हे तुम्हाला त्या मुद्द्यावर किती ज्ञान आहे यावर अवलंबून आहे. ","not offensive"
" वाल्यांना राजकारण करता येत नाही हे त्रिवार सत्य आहे. आज शिवसेनेने जसा सूड घेतला तसलं कृत्य जर भाजपच्या महापौ… ","not offensive"
" त्याच्या गोट्या हरवल्या असतील ","offensive"
" उन्मेष पाटील ने मारहाण केली त्या बद्दल का विचारले नाही या बावळट चा काही अभ्यास… ","offensive"
" आज कंगना येतीये का मा. पंतप्रधान तेच कळत नाहीये. त्यात आजीचा प्रश्न  तीच घर पडायचा काय संबंध  इतके दिवस त्यांना दिस… ","not offensive"
" i stand with सुडाचे राजकारण करणार्‍या शिवसेनेचा निषेध. ","not offensive"
" सोप्पे आहे whatsapp मधील सीक्रेट चॅट लपवणे  फॉलो करा या स्टेप्स ","not offensive"
" सरकार आणि विरोधी पक्षांनी याबद्दल बोललं पाहिजे ते कंगनाचे काय ते कायद्याने होउदे सरकार  व्यवसाय वाढी साठी काय करत आहे हे… ","not offensive"
" दादा शेतकऱ्यांचा आणि गरिबाच्या मुलांचं कुठ चुकत आहे तुम्ही च सांगा मराठा आरक्षण स्थगित केलं आणि लगेच पो… ","not offensive"
" तुजाई ला लई कचाकच शॉट दिले होते तवा तू झ्हाला  मग थोडे… ","offensive"
" तू बनशील का ची संध्याकाळ मस्त पैकी तुज्यात भटकत बसेन.. ","not offensive"
" आज ‘अक्षरनामा मध्ये दलित  आदिवासी  अल्पसंख्याक समाजाचे प्रतिनिधित्व नसणाऱ्या आणि विशिष्ट विचारसरणी प्रतिबिंबित करणाऱ्या धो… ","not offensive"
" कंगना सारख्या परप्रांतीय लोकांची आणि माणसाला बदनाम करण्याची हिम्मत वाढली  त्यासाठी उद्धव… ","not offensive"
" तुजाईचे झाट लई मोठे झ्हाले होते  शेवटी कटिंग वाला बोलाव… ","offensive"
" ✍ योग्य व्यक्तीच्या हाती अयोग्य व्यक्ती आणि अयोग्य व्यक्तीच्या हाती योग्य व्यक्ती गेल्याने प्रेमाला निष्कारण बदनाम व्हा… ","not offensive"
" अर भिकारचोट ‌तुझी लायकी आहे का साहेबांवर बोलायची... ","offensive"
" च्यायला आम्ही तर कॉलेजला असताना इन्फ्रारेड वर दोन मोबाईल एकमेकांच्या बोच्याला चिटकवून क्लिपा सेंड करून घ्यायचो...... आता… ","offensive"
" ती  यायच्या आधीच तोडफोड सुरु आणि  ती  येताच तोडफोड बंद. ..एवढं घाबरायचं ?? ","not offensive"
" उठा उठा सकाळ झाली. देशातील काहीतरी विकायची वेळ झाली. सुप्रभात ","not offensive"
" झाशीची राणी  लक्ष्मीबाई नेवाळकर  होत्या. झाशी संस्थान साम्राज्याच्या सरदाराचे होते. उर्फ ","not offensive"
" विदर्भ महाराष्ट्राचाच   तिकडचे काही लोक हिंदी बोलतात म्हणून विदर्भ मध्यप्रदेशचा भाग म्हणत असतील ते काश्मीरचे बहुतांशी नागरिक… ","not offensive"
"  तुषार दामगुडे ह्या मावळ्यांनी भंगार परिषद संबंध यांच्याबद्दल तक्रार दाखल केली होती. आपल्या आसपास… ","not offensive"
" xbox series s   आता आला आहे स्वस्त एक्सबॉक्स गेमिंग कॉन्सोल  अधिक माहिती ","not offensive"
" महापालिका परिवहन उपक्रमामार्फत या मार्गावरील बससेवा सुरू आहे. या बसमध्ये जागा मिळविण्यासाठी प्रवाशांची दर… ","not offensive"
" कोरोनाकाळात स्वतःचे अपयश झाकण्यासाठी केंद्रातील भाजप आणि राज्यातील महाभकास आघाडी सुशांत सिंग प्रकरणाचा पुरेपूर वापर… ","not offensive"
" असले दळभद्री न्यूज चॅनल असल्यावर तरुणांचे प्रश्न विचारणार कोण.... निषेध अश्या फालतू चॅनल चा जे युवकां… ","offensive"
" विदर्भातील पूरस्थिती मुळे झालेले नुकसान प्रचंड आहे राज्यकर्त्यांनी पूरस्थितीची म्हणावी तशी दखल घेतलेली दिस… ","not offensive"
" दूरदर्शन च्या काळात वृत्तनिवेदकाना असणारा मान सन्मान आजच्या या ब्रेकिंग न्युज देणाऱ्या पत्रकारांनी धुळीला मिळवला. न्यूज चॅनेल… ","not offensive"
" कधी कोणत्या अपप्रवृत्ती कडून माझ्या जिवास धोका आहे असं वाटेल तेव्हा मी फक्त यांच्याकडे हक्काने मदत मा… ","not offensive"
" उद्धव ठाकरे यांना एकेरी संबोधलं म्हणून हक्कभंग आणल्या जातो मग फडणवीस मुख्यमंत्री असताना त्यांना शरीरावरुन विरोधक टर… ","not offensive"
" ते नव्ह सिंगर मामी ला एखादा पुरस्कार द्यायला पाहिजे होता...🤘 ","not offensive"
" समोरचा आपल्याला काय समजतो ते जाणून घेणे खूप महत्वाचं असतं नाहीतर आपण नाती सांभाळत बसतो आणि समोरचा बुद्धिबळाच्या चाली खेळून… ","not offensive"
" या मिडीया ला कोणीतरी समजावून सांगा रे  देशाला रियाची गरज नाही तर शेतकर्‍यांना  यु रिया ची व युवकांना  नोकरी ची गरज आहे.… ","not offensive"
" कधी गार मंद झुळूक कधी सोसाट्याचा वारा कधी पावसाची हलकी सर  कधी तोच मुसळधार कोसळणारा. सोनेरी कोवळे ऊन सकाळी सुखावते … ","offensive"
" बुधवारचा कॉलम – फोकस – सोनेरी सिंहाचे लाल ड्रॅगनला आव्हान via ","not offensive"
" कबीर कलामंचाच्या सागर गोरखे आणि रमेश गायचोर यांना nia कडून अटक ","not offensive"
" प्रत्येक मुलीचं आयुष्य. • जन्म • काका ह्यात पिंक कलर दाखवा ना... • मृत्यू ","not offensive"
" लाइव्ह जाताना मास्क लावायची गरज नसते. अकलेवर लावलेल्या मास्क चं दर्शन नाका देत जाऊ. ","offensive"
" मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी व स… ","not offensive"
" 10 वी आणि 12 वी च्या विद्यार्थ्यांना अभ्यास लक्षात राहण्यासाठी काही महत्वाच्या सूचना सांगणारा हा लेख जरूर वाचा आणि… ","not offensive"
" इतका मंद बुद्धी असेल हा माणूस वाटलं नव्हतं. मध्ये युवकांना नोकऱ्या देणार होते काय झालं त्याच? किती… ","offensive"
" आयुष्यात खूप दुःख असतील पण सर्वात जास्त दुःख दुसऱ्यांकडून अपेक्षा ठेवल्यामुळेच येतात अपेक्षा बंद केली की दुःख आपोआप क… ","not offensive"
" मुंबई आपली आहे आणी ईथे आवाजही आपलाच हवा  ","not offensive"
" अगदी अचूक हेरले आपण  अजुनही महाराष्ट्रातील जनतेला मूर्ख समजण्याची घोडचूक करत… ","offensive"
" ओंकार स्वरूपा च्या भक्तीने आणि  ऋतू हिरवा  च्या सरींनी चिंब करणारे श्री.श्रीधर सुधीर फडकेजी ....जन्मदिन अभिष्टचिंत… ","not offensive"
" अबे लवड्या  तुझ्यामुळेच शिवसेना संपणार आहे. मर लवकर मादरचोद. ","offensive"
" गणपति बाप्पा बद्दल ठट्टा करणारा जोशी मुळे मराठी अस्मिता धोक्यात आली आहे की कांग्रेस समर्थित डुक्कर काही बोलले… ","offensive"
" सध्याची आर्थिक महामंदी अधिक धोकादायक आहे की 2014 आणि 2019 साली आलेली बौद्धिक महामंदी अधिक धोकादायक आहे..?🤔 आर्थिक… ","not offensive"
" असो.. खरं तर ज्यांच्याकडून सगळ्यात जास्त अपेक्षा असते त्यांनीच जर अपे… ","not offensive"
" कर्जाच्या खाईत ढकलण्याचा मोदी सरकारचा प्रयत्न उद्धव ठाकरे. मुख्यमंत्री उद्धव ठाकरे यांचा मोदी सरकारवर आरोप. ","not offensive"
" जगात आज पण आम्ही स्कॉटलंड यार्ड नंतर दुसरी भारी पोलिस कुठली म्हटलं तर एकच नाव निघत  मुंबईपोलीस पण राजकीय नेत्यांनी… ","not offensive"
" ह्यावरून एकच सिद्ध होत आहे की तुम्ही नक्कीच अंध भक्त आहात किंवा पत्रकारिता तुम्ही फक्त दुजाभाव म्हणून… ","not offensive"
" अर त्या घंटा नाद आंदोलनाचे पुढं काय झालं रे .....  का अमित शहांच्या आदेशावरून सगळे त्या कंगणाला सिक्योरिटी दयायला… ","not offensive"
" तिची आज मधली चंडी काडून घेतली  चेक कर तशीच आली आहे रांड  bra पण इथंच राहिला ","offensive"
" अरे आईझवाड्या   तू कुठं   संजय राऊत कुठं ? मराठी माण… ","offensive"
" ति स्वता चा जिव वाचु शकली असती. परंतु आईची माया...  . .  आईची माया  जग तिच्या पाया   ना दुसरे दैवत काही   तु… ","not offensive"
" जिवनामध्ये स्वतःला न पटणार्‍या गोष्टी स्पष्टपणे जो नाकारू शकतो त्याला कधीच पश्चाताप करण्याची वेळ येत नाही.. ","not offensive"
" चे स्पेकस्  6.53 इच फुल्ल hd डिस्प्ले मिडियाटेक हेलिओ g80 चिपसेट 13+8+5+2 मेगापिक्सेल असा कॅमेरा सेटअप… ","not offensive"
" सगळे भाजपा चे मंद आणि मतिमंद मंत्री आणि भक्तगण. ज्या व्यक्ती ला शिवसेना च्या कार्यकर्त्यांनी झोडल ते चुकीचा वाटले… ","offensive"
" काल मि एकटाच होतो..आज या मि… ","not offensive"
" मंद बुद्धीचे प्राणी फार भटकत आहेत.जरा तोंडाला लगाम लावा. जातीयवादी बोलण्यापेक्षा मराठा समाजाला पाठींबा द्या.तुमच्यामुळे… ","offensive"
" ही असं जर इतर तमिळनाडू कर्नाटक राज्यात बोलली असती तर... तिथले लोकच रस्त्यात धरून तुकडे तुकडे केले असते...पण… ","not offensive"
" हे जाम भारी आहे. मुंबई आणि महाराष्ट्रावर प्रेम करणाऱ्या प्रत्येक माणसाने ऐकायला हवं. एका अमराठी माणसाच्या भावना...… ","not offensive"
" आजच्या जनता दरबारात जळगाव जिल्ह्यातील चाळीसगावचे रहिवासी माजी सैनिक सोनू महाजन आले होते. २०१६ साली भाजपचे तत्कालीन आम… ","not offensive"
" नाही पुर्ण करत आता मी माझ्या मनाचे लाड... खुप झालं आता...इकडे विहीर आणि तिकडे आड... ","not offensive"
" 🤣🤣🤣 घ्या मस्त प्रदर्शन करतो आहे तू तुझ्या मंद बुद्धी चे  ","offensive"
" हे ऑनलाईन लेक्चर म्हणजे ना घर का ना घाट का सारखी हालत झाली आहे सारखी range जात्या... नुसत music आयकु येतंय 🤣 काही स… ","not offensive"
" एवढ अभ्यासपूर्ण बोलायला सांगा शरद आणि उद्ध्वस्त ला बोबडी वळेल एक शब्द तोंडातून फुटणा… ","not offensive"
" ढेचू ढेचू मंद गर्दभ  ","offensive"
" हिंदू मुस्लिम करत बस्स भडव्या भक्तांडया मोटा भाई चा गुपु खाणारे भक्त  बाईला त… ","offensive"
" ब्रेकिंग न्यूज च्या स्पर्धे मध्ये ला पछाडून क्रमांक १ वर कोरोना कसाबसा ३ ऱ्या स्थानी टिकून त्यां… ","not offensive"
" विशिष्ट संघी नागपूरकर आणि पाकिस्तानी पंजाब्यांमध्ये हे एक खूप मोठे सा… ","not offensive"
" स्नेह म्हणजे जन्मजन्मांची साधलेला जीवनचा मेळ असतो... त्याचा उगम शोधायचा नसतो आणि अंत कल्पायचा नसतो...स्नेह केवळ अनुभव… ","not offensive"
