tweet	subtask_a	subtask_b	subtask_c
 जेव्हा करिष्मा भोसले ला मशीद च्या लाऊडस्पिकर च्या वादा वरून अबू आझमी सारखा नीच मुसल… 	Offensive	TIN	IND
 माझं सोड तू होतास ना तेव्हा मग काय उपटलीस तू?? कोणी कुठला विषय बोल… 	Offensive	TIN	IND
  सीता साली सावित्री सरहज 	Offensive	TIN	IND
 हो कौस्तुभ हा naughty आहे। घंटा उखाड म्हणा आपलं च्यायला मी खूप रागात आहे । 	Offensive	TIN	IND
 कोणी ही बावळट माहिती पसरवली आहे माहिती नाही. त्या दर वेळेस बेंगलोर मधे राघवेंद्र स्वामी मठात आराधनेकरता से… 	Offensive	TIN	IND
 आधी माझ्या प्रश्नाचं उत्तर दे मंद... मदन शर्मा कोण होते? 	Offensive	TIN	IND
 अरे पहिला स्वत चा बोचा धुवायला शिक लवडु..तुझी लायकी काय आहे ते माहित आहे 	Offensive	TIN	IND
 मंत्री महोदय आपण गेलात तर परभणी ची पन दळभद्रि अवस्था पहावी.. 	Offensive	TIN	IND
 राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले..    भाजपा मग अजित दादा तरी काय तोंडात मुतले होते का...… 	Offensive	TIN	IND
 गप रे ❤ड्या आमचं आरक्षण तुमच्या मुळे रद्द झालं तुमच्या आइच्या भाऊ खात केळं आइ खवे चु… 	Offensive	TIN	IND
 आईघाल्या फोन काय करतो. हिजडा समोर ये तुझी औकात दाखवतो. 	Offensive	TIN	IND
 नाही तेवढं नाही जमणार बाकी सगळे मंद आम्ही हुशार  	Offensive	TIN	IND
 आई झवाड्या 	Offensive	TIN	IND
 हिटलर भाजप च्या गोटया चोळ्या 🤣 हिच काम कर हिजड्या गिरी ची 	Offensive	TIN	IND
 हे वाचा गाढवांनो. आणि हे ही सांगा की तुमच्या मॅडम आणि पप्पूने 2008 साली काय करार केला चीनी कम्युनिस्ट पक्षा… 	Offensive	TIN	IND
 तू  आणि तुझी भाजप तेव्हा काय गोट्या खेळत होता काय? का रे वाघ्या  हिंदुत्ववादी आहात ना… 	Offensive	TIN	IND
 ए अर्धवट  काय वटवट लावली आहेस उगाच? विदर्भात किती जिल्हे… 	Offensive	TIN	IND
 काय रे भाजपच्या गोटया कशाला खाजवत बसतो  तुला वाटत नाही का तु जास्तच सेफारला आहे. आमिरखानच्या बायको बदल काय… 	Offensive	TIN	IND
 अरे रांडेच्या  तू pok भारतात आहे म्हणतो ना चल pok ची ट्रिप arrange कर लोकांसाठी मी माझं नाव देतो प… 	Offensive	TIN	IND
 तू स्वतःला मराठा समजायला लागलास की काय जास्त उडू नको बोचा फोडला जाइल बांबू ने काय परिस्थिती आलीय लो… 	Offensive	TIN	IND
 गोट्या असतात कपाळावर  हा तर मोठा जावईशोध लावलात आपण..... अंडभक्त शोभता.... 	Offensive	TIN	IND
 हा देशमुख जास्त शहाणा आहे ... सीबीआय होऊ देणार नाही ... कांगणाला मुंबईत राहू देणारा नाही याचा बा... चा बोचा 	Offensive	TIN	IND
 फोपट लंपट पोपट डोक्यावरची टोपी आहे की गोट्या 	Offensive	TIN	IND
 भाजप आमदार प्रशांत परिचारकने सैनिक पत्नीबद्दल अपशब्द काढले होते त्यावेळी काय झोपला होता का रे मूर्खा … 	Offensive	TIN	IND
 अरे बापरे तो बावळ… 	Offensive	TIN	IND
 तोंडात घे की 	Offensive	TIN	IND
 सोनू नाव? खर नाव घ्यायला फाटतो का बोचा. तो तर फाटणारच मुंबई चा पालक मंत्री कोणी बसवला. मातोश्री असणारी कलानगर सीट कशी काँ… 	Offensive	TIN	IND
 तुज्या सारख्या आईघाल्या ची तर मारलीच पाहिजे 	Offensive	TIN	IND
 हा मादरचोद विरोधातच होता 	Offensive	TIN	IND
 ती आली.....सगळीकडे फिरली....आणि गेली झाट कोणी तिचे वाकडे नाही केले 	Offensive	TIN	IND
 भडव्या तुझ्या आईसारखी धंदेवाली नाही रे....कंडोम शिवायच… 	Offensive	TIN	IND
 मंदार जन्मतःच मंद आहे  	Offensive	TIN	IND
 आईघाल्या 5 वर्षे काय देवेंद्र जात उपटी करत होते का? यांना सांगतो पलटी मास्टर 	Offensive	TIN	IND
 ती रांड आहे आहे आणि तुझा बाप रंडवा चुत्या कुणीकडचा 	Offensive	TIN	IND
 तुझ्याआईचा नवरा... भडव्या  आईघाल्या निघ मोदीच्या कुत्र्या.. 	Offensive	TIN	IND
 तुजाई रांड साली तिच्या ईचा दाणा  तुझा बाप शटउपट्या  लवंडू साला 	Offensive	TIN	IND
 त्याच्या गोट्या हरवल्या असतील 	Offensive	TIN	IND
 तुजाई ला लई कचाकच शॉट दिले होते तवा तू झ्हाला  मग थोडे… 	Offensive	TIN	IND
 तुजाईचे झाट लई मोठे झ्हाले होते  शेवटी कटिंग वाला बोलाव… 	Offensive	TIN	IND
 अर भिकारचोट ‌तुझी लायकी आहे का साहेबांवर बोलायची... 	Offensive	TIN	IND
 च्यायला आम्ही तर कॉलेजला असताना इन्फ्रारेड वर दोन मोबाईल एकमेकांच्या बोच्याला चिटकवून क्लिपा सेंड करून घ्यायचो...... आता… 	Offensive	TIN	IND
 अबे लवड्या  तुझ्यामुळेच शिवसेना संपणार आहे. मर लवकर मादरचोद. 	Offensive	TIN	IND
 गणपति बाप्पा बद्दल ठट्टा करणारा जोशी मुळे मराठी अस्मिता धोक्यात आली आहे की कांग्रेस समर्थित डुक्कर काही बोलले… 	Offensive	TIN	IND
 तिची आज मधली चंडी काडून घेतली  चेक कर तशीच आली आहे रांड  bra पण इथंच राहिला 	Offensive	TIN	IND
 अरे आईझवाड्या   तू कुठं   संजय राऊत कुठं ? मराठी माण… 	Offensive	TIN	IND
 तुजाईला समाधान देतोय ना मग बस झ्हाला  तिच्या पुचित मिरची घातली होती साली रांड 	Offensive	TIN	IND
 कमळाबाईने बोचा वाट्ला घाई घाई आणि म्हतारा पणत कोणी नाही... बारा तासात राष्ट्रपती राजवट संपवून शप्पथ विधि झाला ए… 	Offensive	TIN	IND
 भाजपा    राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले.. मग अजित दादा तरी काय तोंडात मुतले होते का... … 	Offensive	TIN	IND
 भडव्या...... हेच तुझ्या बापाने तुझ्या मायला हेपलून काढले असेल तर खऱ्या खात्यावरुन बोल ... नाही तु… 	Offensive	TIN	IND
 ये भडव्या तू आम्हाला शिकवू नको. बाळा अभ्यास कर मग बोल पोलीस आयुक्त आणि माहापालिका आ… 	Offensive	TIN	IND
 पाव इंची लंड तुझा आणि बाता झवायच्या 	Offensive	TIN	IND
 भडव्या त्याच तुझ्या बापाकडे माग ना न्याय ज्याची चाटत असता. तो कायमच मराठा आरक्षणाच्या विरोधात होता… 	Offensive	TIN	IND
 काँग्रेस पक्षातला एक बावळट सचिन सावंत सांगतोय संदीप सिंग बीजेपीच्या जवळ होता. त्या मूर्खाला एवढं कळत नाही मुंबई पोलीस 7… 	Offensive	TIN	IND
 पण तुझी आई निव्वळ professional रांड आहे म्हणतेय नाही मला… 	Offensive	TIN	IND
 महाराष्ट्राने ज्याला मोठा केला तो पोर्नहब गोस्वामी परवा  जो उखडणा है उखाड लो  म्हणत होता.. तमाम मुंबईकरांना विनंती आहे की लव… 	Offensive	TIN	IND
 तू रेगे मध्ये येडाच होतास  बिगबॉस मध्ये मंद  आणि नवीन सीरियल मध्ये चोम्या. जाऊदे तू टेप लाव  की थोबाड शिव image तीच असणार आहे. 	Offensive	TIN	IND
 या दोघांना ऐकावेळेला घेऊ शकते तु एवढी मोठी तुझी पुच्ची आणी गांड आहे।इंन्जाँए कर तुझी गांड फाटली कि मला सांग मि टाचे मारायला येईल। 	Offensive	TIN	IND
 हिमाचल मधीच गांड मारून घे कंगना रांड. इथं का तुझ्या आईला झो… 	Offensive	TIN	IND
 आईघाल्या विदर्भच्या बावाजीनो  ५ वर्ष तो फडण२०… 	Offensive	TIN	IND
 राव तो कोपहापुरचा क्लेकटर काय गोट्या खेळतोय की काय असे वाटते. आ… 	Offensive	TIN	IND
 उध्दवच्या गोट्या कपाळात गेल्या आहेत. म्हणून बायकासारखा घर सोडून फावडा पळून गेला आ… 	Offensive	TIN	IND
 राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले भाजपा मग  अजित दादा तरी कुठं भक्तांच्या तोंडात धार सोडून आले होते.… 	Offensive	TIN	IND
 अरे त्या भिकारचोट कंगना राणावत ला   हाकला रे महाराष्ट्र मधून     अश्या बिजेपी च्या पिल्लांची गरज नाही आहे माझ्या म… 	Offensive	TIN	IND
 काय बोललास आईझवाड्या ? 	Offensive	TIN	IND
 तर अश आहे तर झाकण झुल्या संजय चा तोंडात सैनिटाझर टाका....झालं सर्व सुखी. 	Offensive	TIN	IND
 गडुळाचे पाणी पिऊन through परत फडणवीसांच्या तोंडात मुतानारा एकच नेता म्हणजे शरद पवार साहेब... yuga v108 	Offensive	TIN	IND
 तुझा बोचा धुवायला यायचा का सुशांत सिंग राजपूत? बिहारी डुक्कर 	Offensive	TIN	IND
 आईघाल्या माझ्या घरचे मराठी संस्कृती मध्ये वाढले आहोत ह्या नशेडी सारखे नाही अजुन एक तोंड आणि… 	Offensive	TIN	IND
 ज्या भिकारचोट माणसाला बुलेटवरून दूध रतीब घालणाऱ्या माझ्या प्रिय आमदाराने राजदंड उचलून मग कानाखाली लावली होती  तो भड… 	Offensive	TIN	IND
 चा उघडा पडला बोचा 	Offensive	TIN	IND
 मोहाने वेढलेला  जो थोड्याबहुत फायद्याचा हव्यास धरून भलत्या सलत्या खोट्या गोष्टी सांगतो  त्याला नीच समजावे. वसल सुत्त   १६… 	Offensive	TIN	IND
 डेढपूट्या  दोघेजण गोट्या खेळत बसलेत. 	Offensive	TIN	IND
 अरे अर्णव कशाला तुझ्या अंडाच्या शिरा ताणतोय रे आईघाल्या हा अर्णव म्हणजे bjp चा कुत्रा आहे बोटी फेक… 	Offensive	TIN	IND
 बाईंनी फुकला मनाली माल  बाई बावळट झाली. 	Offensive	TIN	IND
 yz तुझा penguin इंग्लिश… 	Offensive	TIN	IND
 ब्रांड ह्या शब्दाचा वर्ण विच्छेद केला तर असा होतो ब्राँण्ड   ब्रा + रांड .... संज्या ला बहुतेक हे बो… 	Offensive	TIN	IND
 आईघाल्या.. संन्ज्या राऊत तिला हरामखोर mhnala 	Offensive	TIN	IND
 देशद्रोही  मुंबई द्रोही  महाराष्ट्रद्रोही बेवडी कंगना. भक्त लोकांच्या तोंडात शेण गेलं का आता बाबर आ… 	Offensive	TIN	IND
 तू गोट्या खेळ आणि थिल्लर चाळे कर.. तुला झापडं लावलीत त्यामुळे जेवढं दाखवलं जातं तेवढंच बघ आणि तेवढंच तोंड उघड.. 	Offensive	TIN	IND
 तू किती ही शिव्या दे नाही तर शाप दे मला झाट फरक पडत नाही तुला फरक पडला म्हणून गांड जाळून 3 4 ट्विट करतोयस सो sad🤣🤣🤣🤣🤣🤣🤣🤣 	Offensive	TIN	IND
 इक दिन मर जायेगा कुत्ते की मोत जग में कहेंगे मर गया मादरचोद ला ला ला ला ला ला ला ला ला ला ला ला ला ला ला… 	Offensive	TIN	IND
 तुझ्या आईच्या पुच्चीत काळा लंड. रांडचा पोरगा. तुझ्या… 	Offensive	TIN	IND
 मेरे प्यारे पुच्ची पुच्ची मोदी जी   आप सिर्फ जनजंख्या नियंत्रण कानून लाइये . बाकी हम आपकी पुच्ची पुच्ची… 	Offensive	TIN	IND
 च्यायला आम्ही तर कॉलेजला असताना इन्फ्रारेड वर दोन मोबाईल एकमेकांच्या बोच्याला चिटकवून क्लिपा सेंड करून घ्यायचो.....… 	Offensive	TIN	IND
 कारे मादरचोद नेरकर जास्तच माजलेला दिसतोय तू. तुझ्या आई बहिणी झोपत असतील गावातील लोकांबरोबर. भड… 	Offensive	TIN	IND
w	Offensive	TIN	IND
 तुझ्या पुच्ची काही कामाची रायली नसणार मग तुझ भोक बेस्ट असणार 	Offensive	TIN	IND
 व्हय रे चोम्या तू शिकवणार मला कोणाला प्रेम करायचे ते.. दळभद्री सल्या.. 	Offensive	TIN	IND
 निघ आईघाल्या पाकिस्तानात  तुझं इथं काय काम कटव्या  इथं राहून देतोय हे हिंदूंचे उपकार समज 	Offensive	TIN	IND
 हो आईघाल्या  मुंबई आमच्या बापाचीच आहे. तुझी औकात काय आहे रे भिकाऱ्या? 	Offensive	TIN	IND
 क्या रे i झवाड्या देश के सिविल सर्विस के सिस्टम में इतना बडा घोचा है और तुम लोग देश की जनता को बताता नहीं है… 	Offensive	TIN	IND
 भाजप च्या गोट्या चोळ्या आहेस का 	Offensive	TIN	IND
 तुजाईला चेककर तिच्या बॉल वर चावलो होतो मी  सांगेल ती रांड कुठं गेली होती 	Offensive	TIN	IND
 भडव्या तूझी लायकी काय रे भाड्या 	Offensive	TIN	IND
 आईघाल्या तुझी गांड दुखते का ? उद्धवसाहेब मुख्यमंत्री आहे म्हणून 	Offensive	TIN	IND
 तु गू खा रे भड्व्या सोनिया चा़ दलाल 	Offensive	TIN	IND
 कारे तुझ्या बहीणीच घर फोडल की काय मादरचोद? 	Offensive	TIN	IND
 तुजाईचे झाट लई मोठे झ्हाले होते  शेवटी कटिंग वाला बोलाव… 	Offensive	TIN	IND
 अबे मादरचोद गदधार तूझ्या सारख्या हरामखोचा हा महाराष्ट्र नाही.हा आमचा शिवाजींचा  बाळासाहेबांचा आणि मा… 	Offensive	TIN	IND
 पुच्ची 	Offensive	TIN	IND
 साली कुत्ती 	Offensive	TIN	IND
 जवान तर देशाची रक्षा करतात...पुरात सहायता करतात... हा भडवा आईघाल्या कोणांच काय चोळतो देव जाणे... 	Offensive	TIN	IND
 साली रंडी 	Offensive	TIN	IND
 हो का गोट्या चोळ्या  	Offensive	TIN	IND
 गुरव बाई लई रांड  लई माणसाचा पुळका तिला झवाडी साली  चु… 	Offensive	TIN	IND
 मोती शेठचा वाढदिवस  राष्ट्रीय बेरोजगार  दिन म्हणून साजरा करण्यापेक्षा  आंतरराष्ट्रीय दळभद्री  दिन म्हणून साजरा कर… 	Offensive	TIN	IND
 तुझ्या आईची गांड बुल्ल्या..तुझे बाप आम्ही आहे आईघाल्या 	Offensive	TIN	IND
 तुजाई तर पुऱ्या घोळक्यात नंगी होती  लई आवडत त्या रांड ला 	Offensive	TIN	IND
 मी बोचा धुताना तू काय बागायेल येत होता का रे 	Offensive	TIN	IND
 भिकारचोट 	Offensive	TIN	IND
 अरे भडव्या आदी तुजी लायकी बग तुला गल्लीतील कुत्रा विचारतो का मग दुसऱ्याला बोल गांडू साला 	Offensive	TIN	IND
 या फक्त निंदानाथ सिंह आहे। कोणत्याही घटने नंतर म्हणतो  इस घटना की करते हैं। आणि झाट पण नाही उपटत। 	Offensive	TIN	IND
भाड़ खाव म्हनजेच भाड़ खानार्या लोकांना नाही नोकरीची किम्मत कळनार तु नालायक आहेस वाघ…	Offensive	TIN	IND
खरी गजाल येगळीच आसा.ह्या सगळ्याक कारणीभूत मंद शिवसेना समर्थक आसय.सगळेच काय रावतोसारखो रिकामटेकडे रवाक…	Offensive	TIN	IND
हा नालायक गृहमंत्री दिशाबाबत तिने पोलिसांना १०० या नंबरवर फोन केला त्याबाबतच्या प्रश्नावर उत्तर न देता प…	Offensive	TIN	IND
त्या भिकारचोट कंगणा तिच्या घराचे कागदपत्र चाळून तीची घर बेकायदेशीर ठरवायला बर वेळ मिळाला सरकारला..... . आणी कोर्टा…	Offensive	TIN	IND
जाऊ द्या भाऊ ह्याले समजे नाही झाट अन म्हणे मले पत्ते वाट	Offensive	TIN	IND
निल्या तु लहान आहेस अजुन तुझ्या मापाची हाफ चड्डी बनली नाय म्हणुन तु आपल्या गोट्या गोट्या खेळ नसल्या त्या उचापात्या…	Offensive	TIN	IND
काही मोजकी मराठी न्यूज चॅनल वगळता राष्ट्रीय स्तरावरील बहुतेक सर्व न्यूज चॅनल उद्धवाच्या तोंडात अक्षरशः शेण घालत आहेत. अग…	Offensive	TIN	IND
सोनू नाव? खर नाव घ्यायला फाटतो का बोचा. तो तर फाटणारच मुंबई चा पालक मंत्री कोणी बसवला. मातोश्री असणारी कलानगर सीट…	Offensive	TIN	IND
हो रे मंद बुद्धी... तेच म्हणालो ना मी    भक्त  अंध भक्त   या शब्दां…	Offensive	TIN	IND
ही असं जर इतर तमिळनाडू कर्नाटक राज्यात बोलली असती तर... तिथले लोकच रस्त्यात धरून तुकडे तुकडे केले असते...पण महारा…	Offensive	TIN	IND
किती ही बावळट बाई आहे. न्यायप्रवीष्ठ असलेल्या प्रकरणावर सुद्धा मतप्रदर्शन करते ? बॉलिवूडच्या इ…	Offensive	TIN	IND
गोट्या सेठ न काय कंपनी बनवलं आहे  गुगल सर्च मध्ये पन नाही येतं  dfrcl hsrl बोगस कंपनी	Offensive	TIN	IND
उध्दव ठाकरे तुझे क्या लगता है  हे बोलून तिने लायकी दाखवली आहे. सरकारने राज्यातील प्रश्नावर लक्ष द्यावे. हिच्याकडे…	Offensive	TIN	IND
कंगनाला आज संविधानाचा अपमान दिसतो स्वतःवर आले म्हणुन जेंव्हा दिल्लीत संविधान जाळले तेंव्हा तुझ्या तोंडात कुणी बोळा…	Offensive	TIN	IND
आम्ही अंध भक्त नक्की आहोत. पप्पू सारखे मंद नाहीच	Offensive	TIN	IND
साली रांड	Offensive	TIN	IND
चूप रे मुर्खा. तू कोणावार कारवाई करणार ? उपट्यांनो महारा…	Offensive	TIN	IND
वेड्या माणसा मराठा आरक्षणासाठी फडणवीस मुख्यमंत्री असताना सुरवात झाली होती तेव्हा तोंडात काय घेऊन बसला…	Offensive	TIN	IND
तु तर एडझवाच हाय..   तोंडात दिलाय का तुझ्या..??	Offensive	TIN	IND
अरे मुर्खा तुमचे भक्त त्या फडतूस शेट ची बरोबरी आमच्या महाराजांना सोबत करतात त्याचा आधी निषेध कर... सतरंजी उचल्या	Offensive	TIN	IND
आबे चुतीये लोक तुला शिव्या देत आहेत ह्या वरूनच ओळख मराठी लोकांच्यात किती चीड निर्माण झाली आहे.....मंद बुद्धी आहेस वाटत	Offensive	TIN	IND
मूर्खा मुघल कालीन वस्तु. आसं आहे ते. त्या सर्व मुघलांच्या वस्तु नाहीत. आणि तिथे शिवाजी म…	Offensive	TIN	IND
आधी बातमी वाच रे मंद भक्ता  तुमच्या सारख्या लोकांसाठी च बनवून ठेवलीय. जरा…	Offensive	TIN	IND
लवड्या मी माझा भाषेत बोलोना... तुझा बापाला पण ऐकयचो नाही लवड्या गांडीत पाय घालेल तुझा आई झवाड्या...…	Offensive	TIN	IND
दादा साहेब फाळके नाव आहे मंद बुद्धी.	Offensive	TIN	IND
अरे रांडच्या  मी संविधनावरून बोललोच नाही. मी तर तुझ्या आईला कशी झवली  आणि तु…	Offensive	TIN	IND
बेक्कार मंद आहे मग ही  हिला युती आहे एवढं पण माहीत नव्हतं	Offensive	TIN	IND
उर्मिला मातोंडकर माझा च्या कट्ट्यावर येतेय. मंद सैनिक उर्मिलाच्या कार्यक्रमाचा प्रचार नेमका कोणत्या नात्यांनी करत आहेत?…	Offensive	TIN	IND
अरे मंदबुद्धी   तुझ्या घरातले infected झाले यावरून तरी समज कसा कोरोना पसरला आहे ते. बावळट गांज्या	Offensive	TIN	IND
कंगनानं अनधिकृत बांधकाम केलं  ते अधिकृत दाखण्यासाठी पालिकाच्या संबंधित अधिका यांनी लाच मागितली असणार. त्यानंतर कंग…	Offensive	TIN	IND
आग मंद बाबासाहेब नाही दादासाहेब फाळके थोडी माहिती घेऊन लावलावी करत जा तुला काय कामधंदा नाहीये	Offensive	TIN	IND
पोरी पळव्या राम्या आईघाल्या तु सांगणार का अत्याचार कुणावर होतोय	Offensive	TIN	IND
अरे मुर्खा  आता संघात पूर्ण पँट असते. पण तुझ्या डोक्यात अजून चड्डीच आहे	Offensive	TIN	IND
तुजाईला माझा लवडा लई आवडतो  सारखा तोंडात ठेवते  तिच्या…	Offensive	TIN	IND
तुझ्या फावड्याला दाऊदची धमकी अली आहे मग तू काय घरात बसून गोट्या खेळतोयस. तुझ्या फाव…	Offensive	TIN	IND
 बावळट   निर्लज्ज सडक्या मेंदूची पैदास  किड्याची औलाद आहे.. 	Offensive	TIN	IND
 काही दिवसाने हा भिकारचोट लोकल ट्रेन्स मध्ये फाटक्या कपड्यात हेच हार्मोनियम घेऊन गाणार आहे. आता पासूनच practice चा… 	Offensive	TIN	IND
 जुमला कुमार संघटनेचे अध्यक्ष माननीय नरेन्द्र मोदी उर्फ फेकू उर्फ चहावाला उर्फ डिग्रीमास्टर गाटार मधून गॅस उत्पादन… 	Offensive	TIN	IND
 अरे काय हनिमूनला गेली आहे का ती? भिकारचोट पत्रकारिता... 	Offensive	TIN	IND
 बकचोद विंग जेथे बकचोद करतेस का? निर्लज्ज बाई आहे तु.... मुर्ख चांडाळी गप्प तोंडात बो.. घाल 	Offensive	TIN	IND
 तिकडं त्याच्या तोंडात लॉलीपॉप देतात  	Offensive	TIN	IND
 काजल गेली घड्डयात . तुझे शब्द वाचून लवडा ताठ झाला  	Offensive	TIN	IND
 दळभद्री. बाबासाहेब आंबेडकर. आणि दादासाहेब फाळके. 	Offensive	TIN	IND
 निर्लज्ज आहे तो ... त्याला किती टोचा .... तरी म्हणेल लाल माझाच बोचा.... 	Offensive	TIN	IND
 तुजाईचे झाट लई मोठे झ्हाले होते  शेवटी कटिंग वाला बोलाव… 	Offensive	TIN	IND
 महाराष्ट्रात रिपब्लिक चॅनलला बंदी म्हटल्यावर आता ह्या ठर्कीच्या गोट्या फिट करणे सोपे झाले... अब आयेगा मजा .. बकरे… 	Offensive	TIN	IND
 मला नेहमी वाटायचं हिच्याशी लग्न करून big b नी चूक केली  तिने मला खरं ठरवलं आज. बुटकी साली हिची काहीच लाय… 	Offensive	TIN	IND
 गपरे चुत्या तूला कोण बोलला माझ्या tweets मध्ये येऊन तुझी निजव असा झाटू तुझ्या सारख्या नपुसकाला झाट… 	Offensive	TIN	IND
 काय रे आई झावाड्या हिजड्या हॉटेल ला काय धंदा करतो का मादारचोद. तुझा नंबर दे भ… 	Offensive	TIN	IND
 करे कवडीच्या भिकारी लाळचाट्या . भडव्या तू आला पहिले माज़्या ट्वीट वर ... भोस्डीच्या .. तुझ्या बापने… 	Offensive	TIN	IND
 bjp चा बोचा चाटत बस तू 	Offensive	TIN	IND
 तुझा बाप मी आहे भाडखाऊ  त्याला सोड तुझी आय मी… 	Offensive	TIN	IND
 संजय राऊत आईघाल्या आहे शिवसेना चा eunuch आहे... मालक बनायला निकाला कुत्रा शिवसेना तर सोनिया रांडेचे पायचाटे बन्दे बाळा… 	Offensive	TIN	IND
 मूर्खा मराठी सिनेमावर लिहिलंय त्यात बापाचा सम्बन्ध नाही कळतंय मग विचारतोस कशाला ? माझ्या बापाच्या पगाराशी… 	Offensive	TIN	IND
 बाळासाहेबांचा बाळ्या बावळट निघाला 	Offensive	TIN	IND
 घे तोंडात 	Offensive	TIN	IND
 महाराष्ट्राला कोरोना नाही कंगना हा रोग लागलाय त्यात महाराष्ट्रातले दळभद्री राजकारणी लोकं त्या चुतीया कंगनाची बाजू… 	Offensive	TIN	IND
 तिला तोंडात मोठा काळा चोकोबार मिळाला दिसतोय....  	Offensive	TIN	IND
 रांड दिप सुव्वरदेसाई 	Offensive	TIN	IND
  मुद्दामहून थुकत बसला  ते पण दोस्तांना बोलवून म्हणुन झाट शिलगली 	Offensive	TIN	IND
 माझा हंटर चांगलाच घुसलाय आईच्या पुच्चीत तुझ्या  कशी खवळली रांड लगेच 	Offensive	TIN	IND
 तोंडात घे 	Offensive	TIN	IND
 तुझे कागद पत्र काढून ठेव आधी गद्दार पाकिस्तानी मानसा. 	Offensive	TIN	IND
 अरे भडव्या आधी स्वताच बग तू आमच्यावर टीका फेक अकाउंट काढून करतो यावरून तुजी लायकी काय आ… 	Offensive	TIN	IND
 भडवा है   हा लढा कधी संपणार नाही. मी एकटा जरी उरलो तरी   माणसांनो उतरा रस्त्यावर आणि दाखवा 	Offensive	TIN	IND
 मूर्खा अजून दंड ठोठावलेला नाही  जरा वाचत जा मंदभक्ता 	Offensive	TIN	IND
 तुझ्या आईची गांड...भाडखो मादरचोद.... चुतीया साला..हरामखोर की पैदाईश... 	Offensive	TIN	IND
 कोर्टाने ला स्थगिती दिली आहे. तुमचे ज्येष्ठ विधीज्ञ परमजीतसिंग पटवालिया कोर्टात गोट्या खेळायला जात होते काय?… 	Offensive	TIN	IND
 राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले..    भाजपा मग अजित दादा तरी काय तोंडात मुतले होते का… 	Offensive	TIN	IND
 या बावळट पेक्षा बाबड्या बरा  	Offensive	TIN	IND
 मी पुन्हा येईन असं जोक मारणारा गोट्या कुठे गेला तुमचा? 	Offensive	TIN	IND
 ये गपे भिकारचोट 	Offensive	TIN	IND
 आईघाल्या तुझ्या बापाची तर नक्कीच नाही 	Offensive	TIN	IND
 हा मग ते तुजी मानसिकता तशी बावळट झाली आहे त्या मुळे… 	Offensive	TIN	IND
 एकच मंद गोपीचंद असेल हो ते  	Offensive	TIN	IND
 तुम्हाला जास्त कळतं वाटतं. सोनिया समोर कधी झुकलेत ??? सत्ता समीकरण ला तुम्ही झुकले… 	Offensive	TIN	IND
 अरे दळभद्री ४० पैसे राजाच्या बिनडोक माणसा.. गुजराथांच्या चपला पुस फक्त पण तुझी लायकी नाही मराठी कला… 	Offensive	TIN	IND
 नेव्हीतील रितारमेन्ट नंतर कोणता आयटी सेल जॉईन केला होता का रे बावळट माणसा 	Offensive	TIN	IND
 तुज्या सारख्या च्युते महाराष्ट्र तील नसतील  आम्ही महाराष्ट्र तील लोक हिंदी ला सुद्धा मान… 	Offensive	TIN	IND
 तुझी गांड बगतोय घोडी झाल्यावर लंड तुझ्या भोकात टाकायला कीती मस्त वाटत असेल हे ना 	Offensive	TIN	IND
 अरे भडव्या औरंग्याचे वंशज तुम्ही. जेव्हा मुघलांनी तुमच्यावर अत्याचार केले तेव्हा ए… 	Offensive	TIN	IND
 तु बावळट झालाय का रे .… 	Offensive	TIN	IND
 अरे अडाण्या  जरा बाबासाहेब आंबेडकरांनी लिहिलेलं वाच (वाचता येत असेल तर). स्वतः… 	Offensive	TIN	IND
 एक मंद बीबीसी मधून हकलाऊन दिलाय म्हणतात 	Offensive	TIN	IND
 हा माहीत करून घे ना मग. बावळट आहेस काय ?? 	Offensive	TIN	IND
 च्यायला १ चित्रपट काय केला  झाडावर चढले बुवा तुम्ही। 	Offensive	TIN	IND
 तुझी पुच्ची लय मोठी झाली असील ना आता रोज किती घेते कोणाला माहीती। 	Offensive	TIN	IND
 तुम्ही 5 वर्ष गोट्या खेळत होता का . बांगड्या भरलेल्या काय? 	Offensive	TIN	IND
 तोंडात घे तू  प पान  	Offensive	TIN	IND
 च्यायला ह्यांच् वेगळा सुरु आहे एडझवे कुठले 🤣 	Offensive	TIN	IND
 अरे भिकारचोट कुलकरण्या 5 वर्ष भाजपचे सरकार असताना त्यानी काय केल ते पण साग ना तुझ्या घरात एकद मुलं जन्माला आलं तर… 	Offensive	TIN	IND
 तोंडात घे भडव्या माझा. अंध मंद भक्त अस… 	Offensive	TIN	IND
 भोसडीच्या तुझ्या आईचा मी नवरा आहे. तुझ्या आईची गांड बघ. मागून गांड मारून मारू… 	Offensive	TIN	IND
 साहेबांनी एकदा का पाण्या ऐवजी दगडाने बोचा घासायला लावलं की आम्ही डोळे मिटायला मोकळे...🤣🤣🤣 	Offensive	TIN	IND
 हरामी रांड आहे तू भेट तुझ्या मयला कंगना हरामी बराची औलाद 	Offensive	TIN	IND
