Not_offensive 	 Ithu ikkayude script aanu..   Uttopiya
Not_offensive 	 Ith kidukkum enn urappullavar ivde like
Not_offensive 	 ചങ്കുറപ്പുള്ള രാജുവേട്ടന്റെ ചങ്കുറപ്പുള്ള ഫാൻസ്‌.  ഞങ്ങൾ
Not_offensive 	 ഡ്രൈവിംഗ് ലൈസൻസ് നിങ്ങൾ ഉദ്ദേശിക്കും പോലെ ഒരു ചെറിയ സിനിമ അല്ലാ   ട്രയ്ലർ :    Releasing on December 20
Not_offensive 	 Ithu polikum pappan marana massanengil pullu giri kola massanu jayettante first gangster underworld movie
Not_offensive 	 മമ്മുക്കക്ക് വെച്ച film ആയിരുന്നു.. but എന്തൊക്കെ കാരണങ്ങൾ കൊണ്ട് അദ്ദേഹം വേണ്ടാന്ന് വെച്ചു... മമ്മുക്ക വേണ്ടാന്ന് വെച്ച് മറ്റുള്ളവർ ചെയ്തത് എല്ലാം  super ഹിറ്റ്‌കൾ ആയിരുന്നു... അത് പോലെ ഇതും ആവും എന്ന് പ്രദീക്ഷിക്കുന്നു
Not_offensive 	 Ee christmasile oru mass entertainer aavum ee film....
Not_offensive 	 Ichaakkaa.. Pwolichu tto   All the best mammookka   By  lalettan fan
Not_offensive 	 Fahad fazil in villan role polikkum
Not_offensive 	 ഇത് എകിലും ജയിച്ചാൽ മതിയായിരുന്നു.... എന്ന് ഒരു ലാലേട്ടൻ ഫാൻ
Not_offensive 	 Janapriya Nayakante Pakka Family Entertainer Superb Trailer
Not_offensive 	 പല തരം ചിരികൾ ഇക്കയുടെ കണ്ടിട്ടുണ്ട്.. എന്നാലും ഇതൊരു മാതിരി മരണ മാസ് കൊല ചിരി തന്നെ 🤡
Not_offensive 	 Paringgiyude munbhil thalakumbit nikkaan kunnjaalik patulla....appo aara muttu madakkiywth(rss) thannje...cherupp nakkikal...  Kaanada punnjara makkale...musalmaante chankoottam....
Not_offensive 	 റിലീസ് date എന്നാണ് ???  I cant wait ...
Not_offensive 	 ജോഷി സാറും ജോജു ചേട്ടനും ഇതിനപ്പുറം എന്ത് വേണം   ഫസ്റ്റ് ഡേ കാണും എന്നുറപ്പുള്ളവർ അടി ലൈക്
Not_offensive 	 Ittymaani trailer kalakki polichu thimirthu ee onam nammal ingedukkuvaa
Not_offensive 	 ഓരോ പടം കഴിയുമ്പോഴും സുരാജേട്ടന്റെ ലെവല് മാറിക്കൊണ്ടിരിക്കുവാണല്ലോ...
Not_offensive 	 Teaser kandappo valya pradeeksha illayirunnu.......ithu kandappol maarikitti......
Not_offensive 	 Ith shah rukh khante FAN cinema pole aavo
Not_offensive 	 Its wanaah great¥€¥ polichu laalettan chankanu chankidippanu lalettaan
Not_offensive 	 karikkele lolattenem lalettenem  eshtamullavar like adi
Offensive	 ഒന്നുപോടചെങ്ങായെ..  അന്നെക്കൊണ്ടൊന്നും ഞമ്മളെ വർത്താനം പറിയാൻ  പറ്റൂല...   അന്റെ  ഒൽകമ്മലെ കുഞ്ഞാലി..
Not_offensive 	 Trailer athra pora ennalum cinema polikaneeeerrr
Not_offensive 	 Oru newcomern kittavaunna etavaum nalla role....  all d bst team
Not_offensive 	 Oru kidilam bgmum songsum malayalathil kelkkanam gopi chettan sadakuzhanju ezhunelkkanam
Not_offensive 	 *ഈ സിനിമ മുതൽ ഇനി അങ്ങോട്ടാണ് സുരാജ് എന്ന സൂപ്പർസ്റ്റാറിന്റെ ആരംഭം*
Not_offensive 	 addipoly padam machane  namude kochikaru kalakki
Not_offensive 	 Ee date onnu maatti vekkamo? IPMAN 4 release anna..
Not_offensive 	 മലയാളത്തിന്റെ ഒരേ ഒരു lady സൂപ്പർസ്റ്റാർ ഇമ്മളെ സ്വന്തം മഞ്ജു വാര്യർ കൊടുക്ക് oru  കിടിലൻ ലൈക്‌ we love uiiiiii manjuchechi
Not_offensive 	 Dileepettan jailil pokatha oru padavum ippol irangunnillaaa... Irangunnathokke super hitum
Not_offensive 	 2020 ഇക്ക് എടുക്കും   ഹിറ്റ് അടിക്കാതിരിക്കിലാ
Not_offensive 	 Shammi hero Ada hero  Fahad ikka ishtam
Not_offensive 	 ഒരു 369 ലൈക്  എന്റെ ഒരു  ആഗ്രഹം ആണ്  മമ്മുക്ക ഫാൻസ്‌  കമ്മോൺ
Not_offensive 	 Kandittum kandittum kothii teeranilla release nu vendii katta waiting ....#FDFS locked
Not_offensive 	 വില്ലന്മാർക്കിടയിൽ നല്ല കട്ട വില്ലനിസം കാണിക്കുന്ന നായകൻ. ഇന്ത കഥയിലെ നാൻ വില്ലൻ ടാ ആനാ ഇന്ത പടത്തിലെ നാൻ താൻടാ ഹീറോ.
Not_offensive 	 വെയ്റ്റിംഗ്  ഫോർ  ആ ത്രില്ലെർ
Not_offensive 	 1M Views aayo enn ariyan vannu nokkunna big manju fans like adichekk
Not_offensive 	 investigation thrillers ദാരിദ്ര്യം ഉണ്ടായിരുന്ന മലയാളം സിനിമയ്ക്ക് ഇച്ചിരി ആശ്വസിക്കാവുന്ന (അഭിമാനിക്കാവുന്ന) ഒന്നാവും അഞ്ചാം പാതിര... promising trailer ..
Not_offensive 	 Ee chechiye kaanan entha cuteness..... Kandu padikkanam bhaakki ullavar..... Lime light il varunnavar figure maintain cheythaal avarkkum nalla scope Ulla character ennum kittum
Not_offensive 	 1:34 Raju ettan allei back ill nilkunathee....?
Not_offensive 	 പടം ഉറപ്പായും ഹിറ്റ് അടിക്കും. FDFS ഉറപ്പിച്ചു
Not_offensive 	 മലയാളത്തിന്റെ young superstar രാജുവേട്ടന്റെ ഡ്രൈവിംഗ് ലൈസൻസിന് കുഞ്ഞിക്ക ഫാൻസിന്റെ വിജയാശംസകൾ
Offensive	 Adutha oru vedimarunnu ready ayitundu...eppo pottikanam ennu paranja mathi....lalunni fans and pottan  fans undo evide?
Not_offensive 	 Fahad oru rakshem illyaa.....  superb movie
Offensive	 മാമാങ്കം മൂഞ്ചി ഇനി ഇത് എന്താവുമോ എന്തോ...
Not_offensive 	 Padam kandit trailer kaanumbol kittuna feel entammooooo
Not_offensive 	 വേട്ടക്ക് ശേഷം അടുത്ത ത്രില്ലെർ         Iam waiting
Not_offensive 	 Soubinum Suraj ettanum polichuuuu padam poliiiii  oru family ayittum kannan pattiya nalla padaaammm
Not_offensive 	 സുദേവ് നായർ fans evide like addi
Not_offensive 	 SAMBAVAM HEVY AKKITTUNDE KATTA WAITING FOR RAJA
Not_offensive 	 ഇജ്ജാതി സ്ക്രീൻ പ്രെസെൻസ് ഒള്ള നടൻ വേറെ ഇണ്ടോ  മാസ്സ് കാ ബാപ് 🤘
Not_offensive 	 Oh iyalude Ela padavum iyalu jailil kidana anubavavumayi copy Anu Nala pila anu enu kqnikan akum.
Not_offensive 	 Ithu kidukkum Vere Levelu Aannu Makkaleee
Not_offensive 	 00:42 njangade Grand center Mall muvattupuzha
Not_offensive 	 എനിക്ക് ഒരു 5 ലൈക്ക് തരുമോ ചങാതികളേ....................PŁĘÅŚĖ
Offensive	 moonjiya warier. Tamilzhamarude oookal kazhinu. Parakoothi
Not_offensive 	 Paayunna KL T 666 il avan varunnu
Not_offensive 	 Apoilll oru kariyam manasilayii DL x max pwolikkum. Sharikkum suraju annu nadan
Not_offensive 	 Trailer il kozhi poittu kozi pooda polumillalo
Not_offensive 	 കിടുവേ ഒരിടവേളക്ക് ശേഷം ഒരു കിടിലൻ ത്രില്ലെർ മോളിവുഡിൽ ഒരുങ്ങുന്നു
Not_offensive 	 മമ്മൂക്കയുടെ ഡയലോഗ് വീണ്ടും വീണ്ടുവീണ്ടും കേൾക്കാൻ വരുന്നവർ ലൈക് ചെയ്യ്
Not_offensive 	 `pritvi recent interview story  tread parjirunnu ethndu  main katha  thnnea appol vichrichtha egeruthnnea allea producer ennu ennitum entha ethu ok parnju padathe kollunthu ennu ee  cimail ulla ageruda confidance anu ennu trailr kandapola mansil ayathu
Not_offensive 	 Vera level trailer. Support from tamil nadu
Offensive	 Kandathil vech mungiya pdam  Rating 1.1/5
Not_offensive 	 ഷെയിൻ നിഗം പതുക്കെയാണെങ്കിലും തന്റേതായ ഒരു സ്പേസ് മലയാള സിനിയിൽ  ഉണ്ടാക്കിയെടുത്തു. ഇത് വരെ ഷെയിൻ ചെയ്ത എല്ലാ പടവും ക്ലാസ്സ്‌ ആണ്. തുടർന്നും ഫിലിം സെലെക്ഷനിൽ ഈ ക്വാളിറ്റി പ്രതീക്ഷിക്കുന്നു.
Offensive	 Thandhayilaathavarum palathandhaku piranavanmaarum aayaa lalettan fanss fislike adikaann kore preyaasapedunundd 🤭🤭abarariyunilaa malayala cinemayude shaapam aann lalettan fans en
Not_offensive 	 Ee teaser istapetta Lalettan  fans like adikku
Offensive	 Ohh 200 jimittolikal dislike adichitund Maire'ole ninde okke poojappura kinathil teaser release aayo
Offensive	 ഞാൻ ഒരു ഫാൻ ആണ് ലാലേട്ടന്റെയും അമിതാബ് ബച്ചന്റെയും  ആമിർഖന്റെയും ബട്ട് അവർ ആരും യാക്കൂബ് മെമെനെ തൂകി കൊന്നപ്പോൾ കണ്ണുനീർ തൂക്കിയ സ്റുഡന്റ്സ്നെ സപ്പോർട് ചെയയ്തിട്ടില്ല രയപ്പ ni വെറും വെസ്റ്റ് ആണ് വകതിരിവ് ഇല്ലാത്ത വെറും വെയ്സ്ട്
Not_offensive 	 സംവിധായകനെ പറയുമ്പോ കൊച്ചുണ്ണിയും
Not_offensive 	 ഞങ്ങടെ പാവയ്ക്കാ കൃഷിക്കുള്ള പന്തൽ ഒക്കെ ഉണ്ടല്ലോ പടത്തിൽ..
Not_offensive 	 Enna parayan eneet ninnu thoyth povum
Not_offensive 	 Irangiya divasam thottu 4 um 5 I'm pravashyam an kaanunnath... Are you katta fans like me?
Not_offensive 	 Ikka vera level... ithu 500 cr kerum100%sure
Offensive	 Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre
Not_offensive 	 Anthoka ayalum ethu polikum annu thonnuvar 🤞
Not_offensive 	 ഒരു പ്രത്യേക feel... best of luck
Offensive	 No violence only peace. ഗോപാലൻ പണ്ടേ പീസിന്റെ ആളാണല്ലോ
Not_offensive 	 Irangiya divasam thottu 4 um 5 I'm pravashyam an kaanunnath... Are you katta fans like me?
Offensive	 Teasr erangunnathinn munne 7 dislike ethe myranmar anenn ariyunnavar like cheyyu
Not_offensive 	 നീയൊന്നും ആരാധിച്ച് ആരാധിച്ച് അല്ല ഞാൻ നടൻ ആയത്
Not_offensive 	 നിങ്ങളറിഞ്ഞോ അതിനിടയിലൂടെ ഇതാ ഒരാൾ നക്ഷത്രമായി ഉയർന്നുവരുന്നു love u സുരാജ്
Not_offensive 	 Lalettan paranjal kanathe pattume   Lalettan ishtam
Not_offensive 	 ഇന്ന് ശോകം ദിവസം ആയിരുന്നു മാമാങ്കം
Not_offensive 	 Enada Oru English comment kuda kanom
Not_offensive 	 സുരേഷ് കൃഷ്ണയുടെ character റിയൽ ആയി ആരായിരിക്കും 🤔
Not_offensive 	 Dislikes inde 100 alla 200 madangu likes adikkum ..athan lalettande power
Not_offensive 	 Trailer rum teaser rum Vidal cinema eganeya endho. Chilayidathokke VELLIMOOGA FEEL kittyavarokke adikkeda like
Not_offensive 	 Suraj ettane kandapoll ravanaprabuvile innocentchettane Ormaa vannu
Offensive	 Verupikkal manju ullathu ozhichal baki ellam super
Not_offensive 	 Idikkatta waiting... Othiri thanks prithvirajinu...njangalde ettane
Offensive	 Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn
Not_offensive 	 ഇതുകൊള്ളാല്ലൊ .... ഒരു സൂപ്പർസ്റ്റാറും ആരാധകനും തമ്മിലുള്ള കലിപ്പ്  പണ്ടാര കലിപ്പ് ... waitinggggg .....
Not_offensive 	 Fb live kand net kalanjavar ivde like..
Not_offensive 	 Pwoli trailer... Rajuvettante ellaa lookum poli
Offensive	 Jobi jorge padam ano. Potti mone
Not_offensive 	 Eee muvie supperb aavumnnu urappullavar like hear
Not_offensive 	 Gopiyanna bgm oru rakshayum illa Marana bgm
Not_offensive 	 Lalettan prithvi combo .... =മരണമാസ്
Not_offensive 	 Abhinayathinde manarisam thiricharinja mahanadana vaibhsvam mohanlal enna MALAYALIYUDE oru sokharya sambhavamanu ennum eppozhum All friends congratulation 
Offensive	 Ethra Alinja oru padam Mr mammotty nirthi poekode do🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬
Not_offensive 	 onnil kooduthal thavana trailer kandavar pls like here
Not_offensive 	 Kuduthal thavaana kanannu thunnuna padam annu oru rakshayum illa polliwchu
Not_offensive 	 Jayetta ee xmas angu kondu poyko
Offensive	 മമ്മൂക്ക ഒരിക്കലും സിനിമ യിൽ അഭിനയിക്കുകയല്ല ജീവിക്കുകയാണ്
Not_offensive 	 Padam sooper Manju super  Roshan big salute
Not_offensive 	 Mamangam alla avante apppan vannallum eth vijayikkum
Not_offensive 	 Mohanlaline onnum parennilla 
Not_offensive 	 Thakarthu
Not_offensive 	 Ithinokke dislike adichavanmare okk adichu kollanamm ettan uyirr
Not_offensive 	 നീയൊക്കെക്കൂടി ആരാധിച്ച്  ആരാധിച്ച് വളർത്തിയിട്ടല്ല ഞാൻ നടനായത്
Not_offensive 	 Super polich vere level  kidukki wating
Not_offensive 	 Kidukkachi  ...katta waiting 4 Pooram....vijil polichu
Not_offensive 	 Raja  ellam adich toofan aakum
Not_offensive 	 Njaan mammoka faan aayi... laletta aaa pazhashirajayum chathiyan chanduvum oke onnu poyi kaanu...
Not_offensive 	 Lady super star ath manju chechi  thanne.... Ath aarokke vannalum poyalum malayalaththinte lady super star manju
Not_offensive 	 Bgm ഒരേ പൊളി..  Gopi Sundar
Not_offensive 	 പൊന്നോ ഇടിവെട്ട് ഐറ്റം...  ഇത് പൊളിക്കും
Not_offensive 	 tamil-telungu-malayalam orrumichu  release  cheydhal  valiya orru  sambvam aggum
Not_offensive 	 ചാക്കോച്ചൻ
Not_offensive 	 എജാതി ഫീൽ പടം.. കണ്മുന്നിൽ കണ്ട ജീവിതങ്ങൾ പോലെ.. പക്കാ കാസ്റ്റിംഗ് 
Not_offensive 	 Avasanam iluminati varumo??? Ippo mikka pritviraj  padavum anganaanallo
Not_offensive 	 Nammude Muvattupuzha mall anennu thonnunnu... Location
Not_offensive 	 Evade........? katta villian ndenn paranjitt kaannannillallo....🤔🤔
Offensive	 അതേ അതേ
Offensive	 ഞാൻ  മലപ്പുറം കാരൻ  ആണ്  ഇതു  എന്തു ഭാഷ  ആണ്  മൈര്  പറയുന്നതു  ചിരിച്ചു  ചിരിച്ചു  വളിപ്പോയി
Not_offensive 	 പടം കലക്കും അത് ഉറപ്പായി trailer കണ്ട്പ്പോൾ വിജയക്കും  25 കോടി Box collection മാത്രം കിട്ടും എന്ന് ഉറപ്പുള്ളവർ Like you
Not_offensive 	 Kodukke makkalllee ikkakkee oru like
Offensive	 Dislike adikkunna aalukal nthayalum nalla thanthakk pirannavaralla...angane ulla shikandikalkk ente naduviral pranamam
Not_offensive 	 മലയാളത്തിന് നല്ല ഒരു thriller ഉണ്ടാകട്ടെ എന്ന് പ്രതീക്ഷിക്കാം..... After memories.. .. അഞ്ചാം പാതിരാ..  Bgm
Not_offensive 	 സ്വാതി തിരുനാള്‍ എഴുതിയ വരികള്‍:  നിര്‍മാല്യം ചിത്രത്തിലെ പഴയ ഒരു ഗാനം
Not_offensive 	 ഇത്  നല്ലൊരു സിനിമ  ആയിരിക്കും . ഒരു  വിത്യസ്ത   ഉണ്ട് .
Not_offensive 	 അഹകരി ആയ സൂപ്പർസ്റ്റാർ എന്റെ ഏട്ടൻ പൊളിച്ച അടുക്കും... മാസ്സ്
Offensive	 Trailer kandale ariyam lalapande adutha padakam....
Not_offensive 	 Reality varach kattiyaaaaa poli poli padam.......shammi
Not_offensive 	 Ith kelkumbo kilichundan mambazam orma verunnu
Not_offensive 	 Suparrrrrrrr... ഹായ് ഫ്രണ്ട്‌സ് ഞാൻ ഒരു ആർട്ട്‌ ചാനൽ സ്റ്റാർട്ട്‌ ചെയ്തു subscribe കുറവാണു.. plz സപ്പോർട്ട്... ഹെൽപ്  ചെയ്യുന്നവർക്ക്  തിരിച്ചും സപ്പോർട്   ഉണ്ടാകും
Not_offensive 	 Ente channel ellavarum onnu subscribe cheyyummo plz....
Not_offensive 	 Kajal Aggarwal Fans Subscribe Channel Dayli uploaded kajal All Videos
Not_offensive 	 1:23 ee shot repeat adich theatre il enganirikkum enn alojich romanjam konda etra perond
Not_offensive 	 ഇതും മൂഞ്ഞുമോ🤔🤔 ഇതെങ്കിലും ഒന്ന് ഹിറ്റ് ആകണേ
Not_offensive 	 Etu ettichante vaka sample ane appom sherikkum ullathu enthayirikkum
Not_offensive 	 Ee padam hittakumenn entha itra urapp Chakochan:njan thanneyan urapp
Not_offensive 	 Evdeyo vechu nastamayi poya manjuchechiaa tirchukittiya santosham Waitn 4 ur powerpck Perfrmnc
Not_offensive 	 Driving license trailer kanunna DRIVING LICENSE illatha njan
Not_offensive 	 Ithilude enkilum tirichu varuka lalettan fans waiting....
Not_offensive 	 1M Views aayo enn ariyan vannu nokkunna big manju fans like adichekk
Not_offensive 	 Sound athu screenil kanam  lalettan polikkum
Offensive	 ബാന്റ് സെറ്റുകാർ ഊതുമല്ലോ ഇതിലും നന്നായിട്ട്  കോപ്പി ചേട്ടൻ എന്തൊന്നിത് ചെയ്ത് വചേക്കുന്നത് BGM
Not_offensive 	 Ith shah rukh khante FAN cinema pole aavo
Not_offensive 	 ഒരു പുതിയ കഥ.. കേൾക്കാത്ത വിഷയം... ഒരു കിടിലൻ വിജയം പ്രതീക്ഷിക്കുന്നു.... പ്രിത്വി  സുരാജേട്ടൻ  സച്ചി  ജീൻ ലാൽ
Not_offensive 	 EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu
Not_offensive 	 മഞ്ചു ചേച്ചിയുടെ ഒരു അത്യുഗ്രൻ  പ്രകടനത്തിനായി കാത്തിരിക്കുന്നു...
Not_offensive 	 Mass  Ikka  Terror bgm Ithu pwolikum
Offensive	 dislike adicha nainte makkalod oru lalunni fansinte roodhanam
Not_offensive 	 10 million views ithinu undakumenu urappulavar like cheyu
Not_offensive 	 Cinema pottiyathinnu shaesham kanunavar like adichae
Offensive	 എടാ മോനുസേ ഗുഹൻ മെസ്സ് ആണേ മെമെങ്കം 100 കോലി ആണേ
Not_offensive 	 Lalettan  nthaaa lukkkk Lalettan fans like me
Not_offensive 	 ബ്രദേർസ് ഡേ നല്ല കിടുക്കാച്ചി പടം ആയിരുന്നു. എന്നിട്ട് അതിനു അർഹത പെട്ട വിജയം പോലും കിട്ടിയില്ല. എല്ലാരും യു ട്യൂബിൽ കിടന്നു ഭയങ്കര സപ്പോർട്ട് ചെയ്യും. എന്നിട്ട് ഓരോ ഊള പടങ്ങൾ ആയിരിക്കും തിയേറ്ററിൽ പോയി കണ്ടു വിജയിപ്പിക്കുന്നത്. ഈ പടം എങ്കിലും സൂപ്പർ ഹിറ്റ്‌ ആകട്ടെ എന്ന് പ്രാർത്ഥിക്കുന്നു..
Not_offensive 	 Teaser kand thalliparanjavarkku  Trailer oru marupadiyanu including me
Not_offensive 	 സുരാജ് 
Offensive	 ഇതു പോലെ അരാജകത്വജീവിതത്തെ ഉദാത്തവൽക്കരിച്ച് ആഘോഷിക്കുന്ന ചിത്രങ്ങൾ നല്കുന്ന സന്ദേശം ഭീകരം
Not_offensive 	 Trailor kandu kazhinjavar ini e Kerala cafe channeliloot varika
Offensive	 Earangunnathinu munb dislike adich moonjikkaan koreu ennam earangiyittund
Not_offensive 	 Lalaten fan onnu ange like poratta
Not_offensive 	 Night shots
Not_offensive 	 Malayalam cenimakall vere our talattilekku ettiyrikkn uuu....gambeerammm....
Offensive	 lalappan fansinte annakkil thooriya trailer 🤣🤣🤣🤣
Offensive	 To M&M nalla role onnum ilel korach kalam veetilirik. Veruthe katta koora padangal ondaki verupikathe.   Atho thaikelavan akanenu munne maximum paisa indakanolla pedappadano
Not_offensive 	 Kidu
Not_offensive 	 എല്ലാവരും അഭിനയം പറയുമ്പോൾ ഏറ്റവും പൊളി BGM ആണെന്ന് തോന്നിയത് എനിക്ക് മാത്രമാണോ?  Sushin Shyam
Not_offensive 	 Trendingil 27   Evide ikka fans Come on fans
Not_offensive 	 എന്നാ എനർജിയാ ഈ പ്രായത്തിലും.. മമ്മുക്ക 🥰🥰ലിന്റോ അണ്ണാ pwoliye
Not_offensive 	 ടീസർ ഇഷ്ടപെട്ടവർ ഇതൊന്നു  കാണുക   ഫാൻസ്‌ ലൈക്‌ here
Not_offensive 	 Trailer thanne lag annallo
Not_offensive 	 Wow.... Oru pidi mikacha actressesine orumich kaanaan kayinju... Sneham
Not_offensive 	 Lalettan polichu Pani ariyanunna Mon thanna rajuvettan
Not_offensive 	 Mamoookaaaa massssss.....uff rakshayillaaaa...ikka ennum mass ka bapp
Not_offensive 	 aa face koodi onn kandirinnu enkil
Not_offensive 	 1. രാജ സൊൽറത് താൻ സെയ്‌വേ.. സെയ്‌റത് മട്ടും താൻ സൊൽവെ.. (പോക്കിരിരാജ) 2. കൊല ഗാണ്ടിലേ ഇരിക്കെ കൊല്ലാമെ വിടമാട്ടേ (ഷൈലോക്ക്) #Rajini_Reference
Offensive	 moonjiya warier. Tamilzhamarude oookal kazhinu. Parakoothi
Not_offensive 	 Dado Girija
Not_offensive 	 ഇന്ന് പടം കണ്ടു ഒരു രക്ഷയും ഇല്ല
Offensive	 വളിപ്പ് പടം
Not_offensive 	 Manju Warriereee Snehikkunnavar Evide undoooo... LIKE Here
Not_offensive 	 In 2 days 5 million views Adi makkale like Mammmootty Prayam koodunthorum Cheruppamagunna Logathile ore oru humannn
Offensive	 29K Dislike adichavar Padam kandu kaanum lo... Oro Dhurendhangal...
Not_offensive 	 പ്രിഥ്വി രാജിന്റെ തം നൈൽ look പൊളിച്ചു.....
Not_offensive 	 ഫാൻ എന്ന ഹിന്ദി സിനിമയുടെ റീമക്ക്  പോലെ
Not_offensive 	 പറയാൻ ഒന്നുമില്ല  പ്രത്യു സൂപ്പർ ആണ്  എല്ലാം കൊണ്ടും ജീവിതം എന്താ എന്ന പഠിച്ച ഒരു വെക്തയും ആണ്
Not_offensive 	 Eee cinima hit avumenn urappullavar oru like adi
Not_offensive 	 എൻറെ ചാനൽ ഒന്ന് സബ്സ്ക്രൈബ് ചെയ്യണം പ്ലീസ് തീർച്ചയായിട്ടും നിങ്ങളുടെ ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യുന്നതാണ്
Not_offensive 	 Moood poyi mood poyi aa sabune kandappol mood poyi
Offensive	 dislike  adich madkununindal9 mohanlal fanz
Not_offensive 	 Madurai kaaran daaaaaa   tamil fans
Offensive	 Priyapetta jibi and joju ivide kure palathanthakkupiranna kure lalettan haters e nalla cinemaye degrade cheyyan shramikkunnund pakshe enikkurappanu ningalude e kanni cinemaye malayaliprekshakar iru kayyum neetti sweekarikkum karanam ithu kudumbaththodoppam theatreil poyirunnu aswadichhu kanavunna oru cheriya  manoharachithramanu ningalude hardworkinginu deivam theerchayayum e cinemaye oru vanvijayamakki mattum njanum deivaththodu prarthikunnu e cinema oru megahit akatte  ennu
Not_offensive 	 spr  bayankara change mamooty
Not_offensive 	 Pandi rajaye malarthi adichu athanu lal magic
Not_offensive 	 Lalettan fans undo?? Undengil oru like please
Not_offensive 	 0.44  .. angane athine kondu oru upayogam undaayi .. kottayamkarke manasilavoo..
Not_offensive 	 Surajettante voice oru podik koodi aged avannu
Not_offensive 	 Kunjali marakkar dialogue presentation is so accurate.
Not_offensive 	 Eee traileril main oru point und kalanghiyavar like
Not_offensive 	 KFC nte freezer yil Helen pett povnnathaan kadha
Offensive	 ഞമ്മന്റെ ആൾക്കാർ കിടന്നു ഉമ്പുന്നുണ്ടലോ...ഇതേതോ കുന്നം കുളം video ആണ്...മമ്മൂക്കയുടെ mamengam എന്ന ബോർ ട്രയ്ലർ ആണ്.🤧🤧
Not_offensive 	 Ithu tamil oke kand kazhinna scene anallo bhai..
Not_offensive 	 Story ere kore pidi kitti kazhinju....
Not_offensive 	 #1 karikku kondoyi ketto. Sed
Offensive	 ഗുഹൻസ് ഫാൻസ്‌ ഡിസ്‌ലൈക്ക് പണിയും തുടങ്ങി
Not_offensive 	 Fans show unndavummo?
Not_offensive 	 Thamilnadu rajinisir
Not_offensive 	 Oru raksha illa  adipoli trailer
Not_offensive 	 polichu kidu bgm suspense niracha kidilan trailer
Not_offensive 	 എൻറെ ചാനൽ ഒന്ന് സബ്സ്ക്രൈബ് ചെയ്യണം പ്ലീസ് തീർച്ചയായിട്ടും നിങ്ങളുടെ ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യുന്നതാണ്
Offensive	 dislike adicha nainte makkalod oru lalunni fansinte roodhanam
Not_offensive 	 Padam kanditte ite kanan vannavar like poduu.
Not_offensive 	 Dq de story kand vanvararkm pakuthim🤩
Not_offensive 	 Laleetanu ikka fansite  Best of luck
Not_offensive 	 മഞ്ജുവിന്റെ ജീവിതം നശിപ്പിച്ചവനും അവളും ഇനിയും അനുഭവിക്കാൻ പോകുകയാണ്
Offensive	 നല്ല ഊമ്പിയ ടീസർ... നിർത്തീട്ട് വേറെ വല്ല പണിക്കും പോ മമ്മൂക്ക
Not_offensive 	 Kandat sharuk khannte FAN cinema pole
Not_offensive 	 Eeetu polikkkummmmm........ trailer polichu Enni onnu thala uyarti nadakkam........we...love  Mamookkaaa....................
Not_offensive 	 Ittichante vaka oru sample hitum koodi
Not_offensive 	 Ith  5 million aaavunn ullappullavar adi ivide like
Not_offensive 	 Ambada kalla... Views ethra aayi ennu nokkan vannathanalle?
Not_offensive 	 0:29 Vendaayirunnu
Offensive	 എത്ര തച്ചോളികൾ ചിലച്ചാലും കൊല കൊള്ളി ആണ് ഇത്
Not_offensive 	 സൂപ്പർസ്റ്റാർ എന്നാൽ അയാൽ  മാത്രം പോരാ. അത് നിലനിർത്തുകയും വേണം. അങ്ങനെ നോക്കിയാൽ മഞ്ജു ലേഡി സൂപ്പർസ്റ്റാർ തന്നെ
Not_offensive 	 Trailer kalakkile. Katta waiting   love u  manju chechi ..
Not_offensive 	 Orupaad ishtaayi ee padam englm hit aaya mathiyenu
Offensive	 Ijjathi kuru trailer releaseinu mumbe ikka fans dislike adikan thudangiyo
Not_offensive 	 Ee teaserinu Amal Paul linte filmum aayi saamiyam thonnunavar like adikku
Not_offensive 	 Innu 8 thavana repeat adich kandu baki nale
Not_offensive 	 Enna oru look enna oru stylish enna glamouraada...idh pole oruthan vere evidundeda nammade malayala karayil
Not_offensive 	 Ithu vare vallya intrest illayirunnu but Trailer kanditt padam kanan katta waiting an rajuvettan and surajettan
Not_offensive 	 രണ്ടു തവണ കണ്ടു. സെക്കന്റ്‌ ടൈം  കൂടുതൽ  detail കാണാം.  Brilliant film
Not_offensive 	 Aa cafe lookil Nadiye kanumbol   oru albuthile kutiyude look enik mathramano thonniyath
Not_offensive 	 Sreenath Bhasiye eppol aanu onnu pacha pidichu kanunne
Not_offensive 	 Eee Christmas jayettan edkuva  mmade tcr pooram
Not_offensive 	 പെണ്ണ് നയിച്ചാൽ ബോറ ..അത് എന്ത് ആയാലും
Not_offensive 	 Valluvanaadi ne poole aavan Oru Range venamedaa
Not_offensive 	 Entammee ejjaathi item. ithaann sherikkum romanjam
Not_offensive 	 ഈ ഡ്രൈവിങ്‌ലൈസൻസ് ഒരു ഒന്നൊന്നര ഹെവി ലൈസൻസ് ആവട്ടെ എന്ന് പ്രത്യാശിക്കുന്നു..
